1,lmalletratt0,2535,3093,14868
4,mmcsporrin3,2770,770,13049
5,htacker4,2696,533,10957
9,mlumly8,2194,2442,10584
10,mduerden9,2261,3042,18806
13,hfenlonc,2746,1383,18100
15,dlabese,2213,2547,17395
17,dgifkinsg,2671,2213,13560
18,rrosewarneh,2976,3194,17327
19,dmayoi,2049,1825,18004
21,emulqueenk,2669,733,12249
23,zfurseym,2755,1145,19099
28,rkinghornr,2208,2344,11183
29,gmerrgans,2035,2973,17500
30,kdalgarnot,2217,339,14855
32,nthurlbeckv,2065,2905,14172
34,nlearnedx,2749,1097,18203
38,ayea11,2355,2767,16746
41,hdominetti14,2118,2192,19616
42,kitzakovitz15,2833,2775,15037
49,mboycott1c,2707,2610,13634
51,jnorsworthy1e,2935,2591,19354
54,hnairns1h,2715,2561,16754
58,kmeineken1l,2708,514,17918
59,nkubicek1m,2671,1171,10926
63,cgossling1q,2962,1036,18108
64,snoller1r,2458,1825,15014
67,chintzer1u,2796,397,12726
68,svasin1v,2060,1288,10679
69,gletts1w,2014,2287,18194
72,mlorden1z,2469,429,16714
73,cdmitrievski20,2202,832,15820
75,agehringer22,2839,473,15048
76,mgerriet23,2190,3138,14081
81,lnorcliff28,2092,3438,14836
82,rphilp29,2800,3074,16626
85,fstollhofer2c,2648,1955,18329
89,cgrimsdell2g,2706,873,17320
91,wcluff2i,2619,1859,11790
92,udubock2j,2329,2561,11216
93,dgoracci2k,2969,1419,12159
95,tquartermaine2m,2162,3343,19841
96,lkabsch2n,2664,654,14562
100,bgreser2r,2721,2579,19865
